 Stranger	 अजनबी
Shribhan	श्रीभान
Shreebhanu	श्रीभानु
Shrimanjari	श्रीमंजरी
Shrimanjari	श्रीमञ्जरी
Mrs	श्रीमती
Mrs henry wood	श्रीमती हेनरी वुड
Shrimat	श्रीमत्
Shrimatkumbh	श्रीमत्कुंभ
Shrimatkumbh	श्रीमत्कुम्भ
Shrimad Bhagavad Gita	श्रीमद्भगवद्गीता
Shrimad bhagavatpuran	श्रीमद्भागवतपुराण
Shrimalaha	श्रीमलापहा
Mr	श्रीमान
Sir	श्रीमान्
Shrimal	श्रीमाल
Shriman	श्रीरमण
Shreerag	श्रीराग
Sriram	श्रीराम
Shriramchandra	श्रीरामचंद्र
Shriram Chandra	श्रीरामचन्द्र
Srilankan	श्रीलंकन
Sri Lanka	श्रीलंका
Sri Lankan	श्रीलंका वासी
Sri Lankan	श्रीलंका-वासी
Sri Lankan	श्रीलंकाई
Sri Lankan Rupee	श्रीलंकाई रुपया
Sri Lankan Rupiah	श्रीलंकाई रुपिया
Shrillata	श्रीलता
Shrivats	श्रीवत्स
Shrivardhan	श्रीवर्द्धन
Shrivardhan raga	श्रीवर्द्धन राग
Srivardhan	श्रीवर्धन
Srivardhan raga	श्रीवर्धन राग
Shrivalli	श्रीवल्ली
Srivas	श्रीवास
Shrivasak	श्रीवासक
Shrivasar	श्रीवाससार
Shrivasa	श्रीवासा
Shriveesht	श्रीवेष्ट
Shrivashtak	श्रीवेष्टक
Shrish	श्रीश
Srisanjh	श्रीसंज्ञ
Shrisada	श्रीसदा
Srisamarth Ramdas Swamy	श्रीसमर्थ रामदास स्वामी
Srisamadh	श्रीसमाध
Shrisamadha raga	श्रीसमाध राग
Srishadar	श्रीसहोदर
Shrihastini	श्रीहस्तिनी
Shrutakarma	श्रुतकर्मा
Acclaim	श्रुतकीर्ति
Shrutadevi	श्रुतदेवी
Dictation	श्रुतलेख
Shrutavarma	श्रुतवर्मा
Eulogist	श्रुतविद
Sage sage	श्रुतविद ऋषि
Shrutsen	श्रुतसेन
Eulogistic	श्रुतांत
Srutayu	श्रुतायु
Shruti	श्रुति
Acclaimer	श्रुतिकीर्ति
Dictation	श्रुतिमाल
Chain	श्रृंखला
Shringa Rishi	श्रृंग ऋषि
Make up	श्रृंगार
Makeup lover	श्रृंगार प्रेमी
Make up juice	श्रृंगार रस
Makeup lover	श्रृंगार-प्रेमी
Adorable	श्रृंगारप्रेमी
Make up	श्रृगार
category	श्रेणी
Gradation	श्रेणीकरण
Credit	श्रेय
Shreyans Nath	श्रेयांस नाथ
Shreyansnath	श्रेयांसनाथ
Best man	श्रेष्ठ पुरुष
Best lady	श्रेष्ठ स्त्री
Superiority	श्रेष्ठता
Pelvis	श्रोणि
Listner	श्रोता
Ileus	श्रोत्रमूल
Shraatashrao	श्रौतश्रव
Senescence	श्लाघनीयता
Pudding	श्लाघा
Elegant	श्लिष्ट
Shlipad	श्लीपद
Schlep	श्लीपदी
Pun	श्लेष
Synovial decking	श्लेष अलंकार
Synovial	श्लेषलंकार
Shalesha nakshatra	श्लेषा नक्षत्र
Synovial	श्लेषानक्षत्र
Mucus	श्लेष्म
Mucus	श्लेष्मह
Mucus	श्लेष्मा
Mucus	श्लेष्मांतक
Mucosa	श्लेष्मातक
Mucus Forest	श्लेष्मातक वन
Mucosa	श्लेष्मातकवन
Synovial	श्लेष्मान्तक
Mucus	श्लेष्मी
Mucous substance	श्लेष्मी पदार्थ
Shloka	श्लोक
Shwak	श्वक
Aphrodisiac	श्वधूर्त
Shpup	श्वपच
Shwupach race	श्वपच जाति
Shwpak	श्वपाक
Shawpak caste	श्वपाक जाति
Schwappen	श्वपामन
Sandwich	श्वपुच्छ
Shampoo	श्वपुच्छा
Schwafl	श्वफल
Schwolf	श्वफल्क
Severe	श्वभीरु
Schwab	श्वभ्र
Gallantry	श्वशुर्य
Shrew	श्वश्रू
Respiration	श्वसन
Respiratory organs	श्वसन अंग
Respiratory function	श्वसन क्रिया
the respiratory system	श्वसन तंत्र
Respiratory system	श्वसन तन्त्र
Respiratory tract	श्वसन नलिका
respiratory system	श्वसन प्रणाली
Respiratory organ	श्वसन-अंग
Respiration	श्वसन-क्रिया
the respiratory system	श्वसन-तंत्र
Respiratory system	श्वसन-तन्त्र
Esophagus	श्वसन-नलिका
respiratory system	श्वसन-प्रणाली
Respirator	श्वसन-यंत्र
Respirator	श्वसन-यन्त्र
the respiratory system	श्वसनतंत्र
Respirator	श्वसनतन्त्र
respiratory system	श्वसनप्रणाली
Respirator	श्वसनयंत्र
Respirator	श्वसनयन्त्र
Bronchial	श्वसनांग
Respiration	श्वसनाशन
Respiration	श्वसनोत्सुक
Bronchial	श्वसुर
Dog	श्वान
Dog bite	श्वान दंश
Dog bite	श्वान-दंश
Schwannchillika	श्वानचिल्लिका
Bronchitis	श्वानदंश
Schwannwackery	श्वानवैखरी
Dog	श्वानी
Scholastic	श्वाविध
Breathing	श्वास
Shortness of breath	श्वास कष्ट
Breathing	श्वास ग्रहण
Respiratory tract	श्वास नली
Breathing system	श्वास प्रणाल
catching my breath	श्वास लेना
Breathing apparatus	श्वास वाद्य
Windpipe	श्वास-नली
Respiratory system	श्वास-प्रणाल
Respirator	श्वास-यंत्र
Respirator	श्वास-यन्त्र
Trachea	श्वासनली
Respirator	श्वासयंत्र
Respirator	श्वासयन्त्र
Asphyxia	श्वासरोध
Inhalation	श्वासहेति
Asphyxia	श्वासोच्छवास
Schwitter	श्वित्र
White	श्वेत
White usher	श्वेत उशीर
White canner	श्वेत कनेर
White lotus	श्वेत कमल
White auricular bulbul	श्वेत कर्ण बुलबुल
White ear bulbul	श्वेत कान बुलबुल
White cockerel	श्वेत कोकिल
White revolution	श्वेत क्रांति
White revolution	श्वेत क्रान्ति
White sandalwood	श्वेत चंदन
White basil	श्वेत तुलसी
White River	श्वेत नदी
White cloth	श्वेत पोश
White land blossom	श्वेत भूमि कुष्मांड
White land blight	श्वेत भूमि कुष्माण्ड
White mandar	श्वेत मंदार
White madar	श्वेत मदार
White temple	श्वेत मन्दार
White blood cell	श्वेत रक्त कणिका
White blood corpuscle	श्वेत रुधिर कणिका
White clothes	श्वेत वस्त्र
White Indus	श्वेत सिंधुवार
White papers	श्वेत-पत्र
White-blossom	श्वेत-पुष्पा
White cloth	श्वेत-पोश
White	श्वेतक
Leucotomy	श्वेतकंदा
Leucorrhoea	श्वेतकन्दा
Whitetail	श्वेतकांडा
White skin	श्वेतकाण्डा
Leucorrhoea	श्वेतकुंजर
Whitetail	श्वेतकुञ्जर
White cat	श्वेतकेतु
Svetaketu sage	श्वेतकेतु ऋषि
White revolution	श्वेतक्रांति
White revolution	श्वेतक्रान्ति
White paper	श्वेतगज
Whitetail	श्वेतघंटा
White-bells	श्वेतघण्टा
Whitewash	श्वेतच्छद
Leucorrhoea	श्वेतटंकण
Whiteness	श्वेतता
Whiteness	श्वेतद्युति
Whitewhip	श्वेतद्विप
White island	श्वेतद्वीप
White metal	श्वेतधातु
Albino	श्वेतधामा
White	श्वेतनील
Leaves of Garuda	श्वेतनेत्र गरुड़
Sclera	श्वेतपटल
White papers	श्वेतपत्र
White-pingle	श्वेतपिंगल
White flush	श्वेतपुष्प
White gooseberry	श्वेतपुष्पा
White cloth	श्वेतपोश
Whitetail	श्वेतभानु
Whitemook	श्वेतमयूख
Whitetail	श्वेतमल्ल
Whitetail	श्वेतमाल
Leucorrhoea	श्वेतरंजन
Whitetransplant	श्वेतरञ्जन
Whitetail	श्वेतरत्न
Whitetail	श्वेतरथ
Leucorrhoea	श्वेतराजी
Leucorrhoea	श्वेतरोहित
Bronchoprotection	श्वेतलोध्र
Whitevalkal	श्वेतवल्कल
White	श्वेतवह
Whitewash	श्वेतवाह
Whitewash	श्वेतवाहन
Starch	श्वेतसार
Whitewheel	श्वेतहस्ति
White	श्वेता
Whitetail	श्वेतांबर
Whitetail monk	श्वेतांबर साधु
Shwetanshu	श्वेतांशु
Whitetree	श्वेताद्रि
Whitetail	श्वेताम्बर
Whitetail monk	श्वेताम्बर साधु
Shwetamali	श्वेताम्लि
Leucorrhoea	श्वेतार्चि
Whitetail	श्वेताश्वतर
Shvetashvatar Upanishad	श्वेताश्वतर उपनिषद
Shvetashvatar Upanishad	श्वेताश्वतर उपनिषद्
Shwetashtaropanishad	श्वेताश्वतरोपनिषद
Shwetashtaropanishad	श्वेताश्वतरोपनिषद्
Leucocyte	श्वेतिका
Whitening	श्वेतोदर
Whitetail	श्वेतौही
Schizophrenia	श्वैत्य
Schwetra	श्वैत्र
Scholastic	श्वैत्र्य
She	ष
The bull	षंड
Shandamark	षंडामर्क
Hexpad	षटपद
Hexapod	षटपदी
Hex	षट्
Hex tribulation	षट् क्लेश
Hexagon Ekadashi	षट्-तिला एकादशी
Hexagon	षट्कर्ण
Hexkarma	षट्कर्म
Hexagon	षट्कोण
Hexagon	षट्कोन
Hexagon	षट्कोना
Hexagon	षट्ज्य
Hexagon	षट्तिला
Hexadecide	षट्पदज्य
Hexameter	षट्पदी
Shantrag	षट्राग
Conspiracy	षडज
Conspiracy	षडयंत्र
Conspiracy	षडयन्त्र
Plot	षडानन
Hand juice	षड् रस
Conspiracy	षड्ज
Plot tone	षड्ज स्वर
Conspiracy	षड्दर्शन
Conspiracy	षड्दर्शनी
Hexagon	षड्भुज
Conspiracy	षड्भुजा
Conspiracy	षड्यंत्र
Conspirator	षड्यंत्रकर्ता
Conspirator	षड्यंत्रकर्त्ता
Conspirator	षड्यंत्रकारी
Conspiratorial gang	षड्यंत्रकारी गिरोह
Conspiracy	षड्यन्त्र
Shadrus	षड्रस
Shinde	षण्ड
Candamark	षण्डामर्क
Best	षष्ठ
Decorum	षष्ठान
Early period	षष्ठानकाल
Fasting time	षष्ठानकाल व्रत
Best	षष्ठी
Shashti puja	षष्ठी पूजा
Best mother	षष्ठी माता
Shashti-puja	षष्ठी-पूजा
Shashtipuja	षष्ठीपूजा
Shraddha	षाड़व
Shadow raga	षाड़व राग
Silent	षाण्मातुर
Hexade	षोडशी
Hesitation	षोडशोपचार
Shodhat	षोड़त्
Shodanshu	षोड़शांशु
S	स
Sangered	सँघेरा
Sun	सँजाब
Saved	सँजोया
Tinted	सँझवाती
Snuff	सँड़सा
Sorrow	सँड़सी
Snake charmer	सँपेरा
Sampola	सँपोला
Care	सँभाल
Careful	सँभालू
To decorate	सँवरना
To decorate	सँवारना
Problem	संकट
Crisis time	संकट काल
Sankat Chauth	संकट चौथ
Time of crisis	संकट-काल
Crisis	संकट-चौथ
Danger	संकटग्रस्तता
Convoluted	संकटाक्ष
Hybrid	संकर
Hybrid eagle	संकर चील
Mongrel	संकर जाति
Hybrid melody	संकर राग
Hybrid melody	संकर-राग
Hybrid compound	संकर-समास
Hybridization	संकरण
Hybrid	संकरराग
Connecting rod	संकर्षण
Compile	संकल
compilation	संकलन
Resolution	संकल्प
Determination	संकल्पन
Concept	संकल्पना
Concept dictionary	संकल्पना कोश
Concept	संकल्पनाकोश
Sankalbhavab	संकल्पभव
Sankalp Yoni	संकल्पयोनि
Sankalpa	संकल्पा
Connection	संकष्टी
Sankashti Chaturthi	संकष्टी चतुर्थी
Faculty	संकाय
Sankar	संकार
Narrow	संकीर्ण
Narrow melody	संकीर्ण राग
Promiscuity	संकीर्णता
Parochial	संकीर्णराग
Sankirtan	संकीर्तन
Contraction	संकुचन
The packages	संकुल
Congestion	संकुलता
Concentration	संकेंद्रन
The signal	संकेत
Signal picture	संकेत चित्र
Insignia	संकेत चिन्ह
Sign mark	संकेत चिह्न
Sign language	संकेत भाषा
Signal site	संकेत स्थल
Picture	संकेत-चित्र
Insignia	संकेत-चिन्ह
Signs	संकेत-चिह्न
Sign language	संकेत-भाषा
Indicators	संकेतक
Notation	संकेतन
Indicative adjective	संकेतवाचक विशेषण
Concentration	संकेन्द्रन
Hesitate	संकोच
Shrinkage	संकोचन
Infection	संक्रमण
transition period	संक्रमण-काल
Solstice	संक्रांत
Solstice	संक्रांति
Solstice	संक्रान्त
Solstice	संक्रान्ति
infectious disease	संक्रामक रोग
Interactive system	संक्राम्य तंत्र
Contagious system	संक्राम्य तन्त्र
Interactive system	संक्राम्य-तंत्र
Contagious system	संक्राम्य-तन्त्र
Infectious system	संक्राम्यतंत्र
Incontinence	संक्राम्यतन्त्र
Operation	संक्रिया
Short message service	संक्षिप्त संदेश सेवा
Brief message	संक्षिप्त सन्देश
Narrator	संक्षिप्तक
Brevity	संक्षिप्तता
Summarization	संक्षिप्तीकरण
The brief	संक्षेप
Condensation	संक्षेपण
Compiler	संखनारी
Arsenal	संखिया
Number	संख्या
numerical data	संख्यात्मक डेटा
The numbers	संख्यान
Adjectives of Number	संख्यावाचक विशेषण
with	संग
marble	संग मरमर
With Marble Statue	संग मरमर मूर्ति
With Moses	संग मूसा
Coherence	संग-तराश
Together with	संग-साथ
Sangkupi	संगकूपी
Sanghara	संगखारा
Organiser	संगठक
Organization	संगठन
Organized religion	संगठित धरम
Organized religion	संगठित धर्म
Computer	संगणक
Computer machine	संगणक यंत्र
Computer diagram	संगणक रेखा-चित्र
Computer diagram	संगणक रेखाचित्र
Computer memory system	संगणक स्मृति-तंत्र
Computer mouse	संगणक-मूषक
Computerization	संगणकीकरण
Computing	संगणन
Computation	संगणना
Computed Axial Tomographic Scanner	संगणीकृत अक्षीय टोमोग्राफीय स्कैनर
Company	संगत
Compatibility	संगतता
Companion	संगतराश
Companion	संगतराशी
Association	संगति
Company	संगतिया
Consistency	संगती
Outright	संगपुश्त
Sambasari	संगबसरी
confluence	संगम
Concurrence	संगमन
marble	संगमरमर
Marble statue	संगमरमर मूर्ति
Confluence	संगमूसा
Sangrur	संगरूर
Sangrur district	संगरूर ज़िला
Sangrur District	संगरूर जिला
Sangrur city	संगरूर शहर
Sangareddy	संगरेड्डी
Sangareddy city	संगरेड्डी शहर
Quarantine	संगरोध
Company	संगसार
Sangsurama	संगसुरमा
Conglomerate	संगसुलेमानी
Sangati	संगाती
Company	संगाय
Fellow deer	संगाय हिरण
Partner	संगिनी
Fellow	संगी
music	संगीत
Music practice	संगीत अभ्यास
Music play	संगीत नाटिका
music director	संगीत निर्देशक
Music composition	संगीत संरचना
music notes	संगीत स्वर
Music poetry	संगीत-काव्य
Music play	संगीत-नाटिका
musician	संगीतकार
Musician	संगीतज्ञ
Musical act	संगीतमय क्रिया
Musicologist	संगीतशास्त्रज्ञ
Musician	संगीतशास्त्री
Musical activity	संगीतात्मक क्रिया
Bayonet	संगीन
Conciliation	संगोपन
The seminar	संगोष्ठी
Collection	संग्रह
Collector	संग्रह-कर्ता
Collector	संग्रह-कर्त्ता
Collector	संग्रहकर्ता
Collector	संग्रहकर्त्ता
Storage	संग्रहण
store location	संग्रहण स्थान
The museum	संग्रहालय
Collecting	संग्रही
Struggle	संग्राम
Conflict	संग्रामी
The union	संघ
Ingredient	संघटक
Composition	संघटन
Mobilizer	संघटन कर्ता
Mobilizer	संघटन-कर्ता
Mobilizer	संघटनकर्ता
Compaction	संघनन
Struggle	संघर्ष
Attrition	संघर्षण
Ceasefire	संघर्षविराम
Sanghai	संघाई
Sangathika	संघाटिका
Sanghati	संघाटी
Impact	संघात
The Federal State	संघीय राज्य
Sanghera	संघेरा
Infection	संङ्क्रमण
Cumulative	संच
Cache	संचय
Storage	संचयन
Storage space	संचयन स्थान
Stagnant livelihood	संचयहीन जीविका
Cumulative	संचयी
Transmission	संचरण
Mobilization	संचलता
Communications	संचार
communication medium	संचार माध्यम
communication medium	संचार-माध्यम
Communicator	संचारक
Communicative	संचारी
Communicative sentiment	संचारी भाव
Director	संचालक
Steering circle	संचालक मंडली
Board of Directors	संचालक-मंडल
Operations	संचालन
Operator	संचालन कर्ता
Accumulated work	संचित कर्म
Accumulated wealth	संचित धन
Consolidated funds	संचित निधि
Accumulated item	संचित वस्तु
Accumulated item	संचित-वस्तु
Accumulation	संचिति
Sanjay	संजय
Sanjay gandhi	संजय गाँधी
Sanjay Gandhi	संजय गांधी
Selvedge	संजाफ
Good luck	संजाब
Network	संजाल
Seriousness	संजीदगी
Sanjeev	संजीव
Sanjeev hell	संजीव नरक
Lifesaving	संजीवक
Life	संजीवन
Living hell	संजीवन नरक
Sanjeevani	संजीवनी
Sanjeevani herb	संजीवनी बूटी
Sanjeevani muri	संजीवनी मूरि
Sanjeevani herb	संजीवनीबूटी
Concoction	संजोग
Noun	संज्ञा
Cognizance	संज्ञान
Anesthetic	संज्ञापुत्री
Anesthetic river	संज्ञापुत्री नदी
Nomenclature	संज्ञाशून्यता
Anesthesia	संज्ञाहरण
Serious crime	संज्ञेय अपराध
Sansa	संड़सा
Sandil	संडिल
Sunday	संडे
Sunday	संडेरशा
Sundarsha mango	संडेरशा आम
Saint	संत
Saint kabir	संत कबीर
Sant Kabir Nagar	संत कबीर नगर
Sant kabir nagar district	संत कबीर नगर ज़िला
Sant Kabir Nagar district	संत कबीर नगर जिला
Saint Kabir Das	संत कबीरदास
Saint christopher	संत क्रिस्टोफर
Saint george	संत जार्ज
Saint George	संत जॉर्ज
Saint gyaneshwar	संत ज्ञानेश्वर
Saint tukaram	संत तुकाराम
Saint thomas and principe	संत थॉमस और प्रींसिपे
Saint dadu	संत दादू
Saint namdev	संत नामदेव
Saint Mary	संत मेरी
Sant Ravidas Nagar	संत रविदास नगर
Sant Ravidas Nagar District	संत रविदास नगर ज़िला
Sant Ravidas Nagar District	संत रविदास नगर जिला
Saint best	संत श्रेष्ठ
Child	संतति
Child's path	संतति-पथ
Santiholm	संततिहोम
Orange	संतरा
Sentry	संतरी
Sentry change	संतरी परिवर्तन
children	संतान
Child love	संतान प्रेम
Childhood	संतानत्व
Childbirth	संतानोत्पत्ति
Anguish	संताप
Santoor	संतुर
The balance	संतुलन
Satisfaction	संतुष्टि
Satisfaction	संतुष्टीकरण
Santoor	संतूर
satisfaction	संतोष
Santoshi Ma	संतोषी माँ
Santoshi Ma	संतोषी मां
Santoshi Mata	संतोषी माता
Santavan	संत्तावन
Anguish	संत्रास
Santhal	संथाल
Santali	संथाली
Santali language	संथाली भाषा
Forceps	संदंश
The reference	संदर्भ
Sandal	संदल
Sandanini	संदानिनी
Suspicious ghost	संदिग्ध भूत
Past tense	संदिग्ध भूत काल
Doubtful past	संदिग्ध भूतकाल
Doubtful present	संदिग्ध वर्तमान
Ambiguous present tense	संदिग्ध वर्तमान काल
Doubtfulness	संदिग्धता
Sensibility	संदीपन
Sandeepan Rishi	संदीपन ऋषि
Sandipani	संदीपनी
box	संदूक
Chest	संदूकचा
Chest	संदूकची
Chest	संदूकड़ी
Box	संदूक़चा
The box	संदूक़ची
Message	संदेरशा
Sandersha Mango	संदेरशा आम
message	संदेश
Courier	संदेशवाहक
Sandhar	संदेशहर
The messenger	संदेशहारक
Messenger	संदेशहारी
Message	संदेशा
Message	संदेशी
Message	संदेसा
Sentimental	संदेसी
Doubt	संदेह
Doubtlessness	संदेहरहितता
Sandol	संदोल
Evening	संध
Gathering	संधान
Sandhanini	संधानिनी
Maintenance	संधारण
The treaty	संधि
Treaty letter	संधि पत्र
Joint pain	संधि शूल
Treaty site	संधि स्थल
Treaty system	संधि-तंत्र
Treaty letter	संधि-पत्र
Infrastructure	संधितंत्र
Memorandum	संधिपत्र
Arthropod animals	संधिपाद जंतु
Arthropod beast	संधिपाद जन्तु
Arthropod animal	संधिपाद प्राणी
Rheumatism	संधिवात
Rheumatism	संधिविच्छेद
Arthritis	संधिशोथ
Evening	संध्या
Dusk	संध्याकाल
Evening	संध्यादीप
Practice	संध्योपासना
Sanadan	संनादन
Retirement	संन्यास
Sannyas Upanishad	संन्यास उपनिषद
Sannyas Upanishad	संन्यास उपनिषद्
Renunciation	संन्यासाश्रम
Renunciant	संन्यासिनी
Saints	संन्यासी
Renunciant council	संन्यासोपनिषद
Sanyasopanishad	संन्यासोपनिषद्
Property	संपत्ति
Estate	संपदा
Done	संपन्न
Affluence	संपन्नता
Auditor	संपरीक्षित्र
contact	संपर्क
contact persons	संपर्कसूत्र
Property	संपाति
Coincident	संपाती
Editor	संपादक
Editorial	संपादकीय
The editing	संपादन
Samput	संपुट
Whole world	संपूर्ण जगत
perfect World	संपूर्ण विश्व
The whole world	संपूर्ण सृष्टि
Entirety	संपूर्णता
Endowment	संपोषक
Sustenance	संपोषण
Concept	संप्रत्यय
Contribution	संप्रदान
Contribution factor	संप्रदान कारक
Censor	संप्रदानकारक
Denomination	संप्रदाय
Sectarian	संप्रदायवादी
Sovereignty	संप्रभुता
Sovereignty	संप्रभुत्ता
Sovereignty	संप्रभुत्व
Revenue	संप्राप्ति
Era	संप्राप्ति काल
Era	संप्राप्ति-काल
Communicator	संप्रेषक
Communication	संप्रेषण
Relationship	संबंध
Relative term	संबंध-सूचक शब्द
genitive case	संबंधकारक
Relative words	संबंधसूचक शब्द
Relative	संबंधी
Related	संबत
Related	संबत्
Affiliation	संबद्धता
Sambalpur	संबलपुर
Sambalpur district	संबलपुर ज़िला
Sambalpur District	संबलपुर जिला
Sambalpur City	संबलपुर शहर
Relation	संबाद
Sambuk	संबुक
Address	संबोधक
Exhortation	संबोधन
Addresser	संबोधन कर्ता
Addressing agent	संबोधन कर्त्ता
Addressing factor	संबोधन कारक
Address mark	संबोधन चिन्ह
Address mark	संबोधन चिह्न
Address by	संबोधन-कर्ता
Address writer	संबोधन-कर्त्ता
Supplier	संभरक
Supply	संभरण
Sambhav Nath	संभव नाथ
The possibility	संभवता
Sambhavnath	संभवनाथ
Division	संभाग
Division	संभागिता
Sambhaji	संभाजी
Logistics	संभार
take care	संभाल
Handle	संभालू
Chance	संभावना
The potential	संभाविता
Discourse	संभाषण
Conversationality	संभाषणशीलता
Sensation	संभूति
sexual intercourse	संभोग
Elite	संभ्रांत व्यक्ति
Combination	संमिश्रण
Allotment	संमूर्छा
plant	संयंत्र
Restrainer	संयताहार
Moderation	संयम
Sobriety	संयमिता
Compound letters	संयुक्त अक्षर
United Arab Emirates	संयुक्त अरब अमीरात
United arab republic	संयुक्त अरब गणतंत्र
Joint Commissioner	संयुक्त आयुक्त
joint venture	संयुक्त उद्यम
Joint business	संयुक्त कारोबार
joint family	संयुक्त परिवार
United progressive alliance	संयुक्त प्रगतिशील गठबंधन
United progressive alliance	संयुक्त प्रगतिशील गठबन्धन
The united states of america	संयुक्त राज्य अमरीका
United States of america	संयुक्त राज्य अमेरिका
United Nations	संयुक्त राष्ट्र
United Nations Educational Scientific and Cultural Organization	संयुक्त राष्ट्र शैक्षिक वैज्ञानिक एवं सांस्कृतिक संगठन
United Nations organisation	संयुक्त राष्ट्र संघ
UN Security Council	संयुक्त राष्ट्र सुरक्षा परिषद
United Nations organisation	संयुक्त राष्ट्रसंघ
Joint parliamentary committee	संयुक्त संसदीय समिति
Connectedness	संयुक्तता
United Nations International Emergency Children's Fund	संयुक्तराष्ट्र अंतरराष्ट्रीय आपातकालीन बाल निधि
United Nations Children's Fund	संयुक्तराष्ट्र बाल निधि
Ligature	संयुक्ताक्षर
Joint	संयुत
a coincidence	संयोग
Coincidence land	संयोग भूमि
Accidental makeup	संयोग शृंगार
Coincidental makeup juice	संयोग शृंगार रस
Convener	संयोजक
Valence symbol	संयोजक चिन्ह
Valence word	संयोजक शब्द
The combination	संयोजन
Connector	संयोजन कर्ता
Connection agent	संयोजन कर्त्ता
Assembler	संयोजनकर्ता
Coordinator	संयोजनकर्त्ता
Valency	संयोजिता
The mentor	संरक्षक
protection	संरक्षण
Protectionism	संरक्षणवाद
Protected area	संरक्षित क्षेत्र
Protected forest	संरक्षित वन
The structure	संरचना
structural formula	संरचनात्मक सूत्र
Confirmation	संरुष्टि
Enclosed letter	संलग्न-पत्र
Enclosure	संलग्नक
Involvement	संलिप्तता
Annihilator	संलेपक
Era	संवत
Samvat	संवत्
Filters	संवत्सर
Citation	संवरण
Sandalwood sage	संवरण ऋषि
Promotion	संवर्णा
Convergence	संवर्त
Vulture sage	संवर्त ऋषि
Convection	संवर्तन
Augmented	संवर्त्त
Promoter	संवर्त्तक
Cultivator sage	संवर्त्तक ऋषि
Promotion	संवर्त्तन
Enhancement	संवर्द्धन
Enrichment house	संवर्द्धन गृह
Nursery	संवर्द्धन-गृह
Promotion	संवर्धन
Stud house	संवर्धन गृह
Nursery	संवर्धन-गृह
Convection	संवहन
Vascular system	संवहनी तंत्र
Vascular plants	संवहनी पादप
Vascular flora	संवहनी वनस्पति
Vascular system	संवहनी-तंत्र
Vascular system	संवहनीतंत्र
Ventilation	संवात
Ventilator	संवातक
Ventilation	संवातन
conversation	संवाद
Reporter	संवाददाता
The communicator	संवादवाहक
Communicability	संवादशीलता
Conversationalist	संवादी
Interactive conference	संवावदाता सम्मेलन
Conductor	संवाहक
contracts	संविदा
Constitution	संविधान
Constitution council	संविधान परिषद
Constitutional council	संविधान परिषद्
Constitution board	संविधान मंडल
Constitution lecturer	संविधान व्याख्याता
Constituent Assembly	संविधान सभा
Merger	संविलयन
Scrutiny	संवीक्षा
Closed	संवृत
Closed	संवृत्त
Growth rate	संवृद्धि दर
Sensor	संवेदक
Sensationalism	संवेदनवाद
Sensitivity	संवेदनशीलता
condolences	संवेदना
Sensory system	संवेदिक तंत्र
Sensory system	संवेदिक-तंत्र
Sensory system	संवेदिकतंत्र
Sensory system	संवेदी तंत्र
Sensory system	संवेदी प्रणाली
Sensory system	संवेदी-तंत्र
Sensory system	संवेदी-प्रणाली
Sensory system	संवेदीतंत्र
Sensory system	संवेदीप्रणाली
Insensitivity	संवेद्यता
Doubt	संशय
Skepticism	संशयोपमा
Skepticism	संशयोपमालंकार
Refrigeration	संशीतन
Modifier	संशोधक
an amendment	संशोधन
Modified nation	संश्रित राष्ट्र
Synthetic	संश्लिष्ट
Co-operation	संसक्ति
Parliament	संसद
Parliament House	संसद भवन
Member of Parliament	संसद सदस्य
Member of Parliament	संसद-सदस्य
Connection	संसर्ग
Intercourse	संसर्गदोष
Resources	संसाधन
world	संसार
All over the world	संसार भर
All over the world	संसारभर
Detector	संसूचक
Communication	संसूचना
Convergence	संसृति
Modified	संसृष्ट
Edition	संस्करण
sacraments	संस्कार
Cultured	संस्कारी
Cultural verses	संस्कारी छंद
Sanskrit	संस्कृत
Sanskrit language	संस्कृत भाषा
culture	संस्कृति
Bed	संस्तर
The organization	संस्था
The institute	संस्थान
founded by	संस्थापक
The installation	संस्थापन
The establishment	संस्थापना
Topology	संस्थिति
Contact	संस्पर्श
Memoirs	संस्मरण
Code	संहर्षा
Destruct	संहार
Exterminator	संहारक
Liquid floss	संहितपुष्पिका
Code	संहिता
Code	संहृति
Shannadi	संह्नादि
Sanhlad	संह्लाद
Saadat	सआदत
Saiha	सइहा
Saiha district	सइहा ज़िला
Saiha District	सइहा जिला
Saiha City	सइहा शहर
Sai	सई
Sai river	सई नदी
Twenty five	सईस
Saudi arabia	सउदी अरब
Saudi Arabian State	सउदी अरब राज्य
Saudi Arabian Riyal	सउदी अरब रियाल
Saudi Arabian Real	सउदी अरब रीयाल
Saudi Arab	सऊदी अरब
Kingdom of Saudi Arabia	सऊदी अरब राज्य
Narrator	सकंटक
Sakat	सकट
Sacrahandi	सकरखंडी
Canker	सकरखण्डी
Tightness	सकरापन
Transitive verb	सकर्मक क्रिया
gross	सकल
Gross Domestic Product	सकल घरेलू उत्पाद
Sakli	सकली
Could	सका
Bad deeds	सकाम कर्म
Acceptance	सकार
Shrink	सकुचाहट
Sakuchi	सकुची
Sakuchi fish	सकुची मछली
Secondary coil	सकेंडरी कॉइल
Secondary coil	सकेंडरी क्वाइल
Secondary coil	सकेंडरी क्वायल
Secondary coil	सकेन्डरी कॉइल
Secondary coil	सकेन्डरी क्वाइल
Secondary coil	सकेन्डरी क्वायल
Sakora	सकोरा
Sakka	सक्का
